Song ID,Title,Artist,Duration,Release Year,Tempo,Key,Mode,Energy Level,Danceability,Acousticness,Liveness,Valence,Speechiness,Streaming Count,Chart Position,Popularity Score,Genre_Country,Genre_EDM,Genre_Hip-Hop,Genre_Jazz,Genre_Pop,Genre_Rock
46042657,System alone surface.,Todd Smith,0.24134052743171094,0.17364148143480773,-0.2254874134641596,10,0.4,-0.4660529727504348,-0.9370366871214977,-1.2708715905722443,-0.6119765510841748,-0.5906908735152173,0.18533496111404477,1.1609577933244268,-1.192707257375568,0.5759804381228807,False,False,False,False,False,True
beff2f0f,Since expect.,Angela Newman,-1.3768430856161564,-1.1804434655338227,0.9557535919934222,5,0.0,-0.054030462299730034,-0.963309491802891,0.02124526591492952,-0.40826755217824856,1.4417664782711739,1.4235126690734072,-1.5477012947729003,-1.365907630822356,0.14005846724266946,False,False,True,False,False,False
6161b3d9,Head TV technology.,Laura Fowler DVM,0.29913279932627757,-1.658355799758055,-0.3025248703418279,1,1.0,1.6572503175349065,0.4442874740591061,-1.6108426310519157,0.36669136418517284,-0.10316764149047143,1.5905206605006394,0.12087915592715237,-0.7077462117245612,-0.14017708546603788,False,False,False,False,True,False
ff0f703c,Certain who officer.,Dennis Richardson,1.5358874178700044,-0.22461879708538188,0.8273578305306416,11,0.0,0.047210835500817436,1.5946367626332618,-0.2092489846935448,-1.4323234256143753,-0.6201495066977462,-1.38759828526419,1.5904935563766427,-1.6430282283372168,0.14005846724266946,True,False,False,False,False,False
c27b6b88,System speech.,Robin Lee,1.2931598759128247,-0.5432270199015288,0.9300744397008662,3,0.0,-0.3509518287527519,-1.0264009726081305,-0.4185443792313887,-1.5394831149507893,-0.814319651538895,-0.4013698955332811,-1.3098598227407734,0.5739365517816711,-0.4826872054433468,False,True,False,False,False,False
18c75308,Develop bad protect.,Larry Hensley,1.096666151471298,0.09398942573076506,1.5977323993073254,4,1.0,0.9953794570827809,-0.11564786345518639,-0.5783574064922946,-0.2265771537585815,-1.0992889144735492,-0.5669520042624103,-0.3568896705656182,0.6085766264710287,4.592690026947685,True,False,False,False,False,False
f7cfd2e6,Job right knowledge.,Matthew Lucero,-1.0300894542487564,1.2091182055872913,1.0841493534562028,9,1.0,1.3519924245475805,-1.4232057144302255,0.09465459254996242,0.12621195817258413,1.174083697611704,-0.45576568073671936,-0.7025695683127037,-1.5737480789585017,0.8562159908315882,False,False,False,True,False,False
1a14ef25,Own skill.,Larry Hensley,-0.7064527316391829,-1.4990516883499696,0.41649139384974376,2,0.6,0.6651771564706485,1.2144050543904685,1.0446023623554523,0.9860267190715605,0.8924376010685034,0.39471816818222444,-0.962277193217431,1.4399384190156115,1.0741769762716937,False,False,False,False,True,False
300dcf26,Produce these process.,Christie Anthony,-1.4924276294052898,-1.1804434655338227,-0.6106746978525015,5,0.0,-1.0944319255262016,-1.3419773988526464,-1.7211289828271608,-1.119128415158901,1.5216398242652254,0.1993272191428775,-0.7585967095105463,-0.04958479262676629,0.10892118360836851,True,False,False,False,False,False
2d76e00a,Carry democratic country.,Charlotte Knapp,1.1891337865026046,1.2887702612913101,1.5463740947222135,7,0.0,-0.8306358274173283,-0.1248668987487287,-1.0716783501288594,-0.4074369771044451,0.6086823703173895,-0.45637370742766975,0.49346863284148024,1.0588975974326778,-0.8874718926892574,False,False,True,False,False,False
